Top 5 CITTIES based on weightage scores,State,Mass Markets (W20%),Diverse Workers (W20%),Well-heeled Affluents (20%),Population Growth Rate (10%),Number of Burgalaries reported (10%),Property Crime Rate (10%),Housing Construction (10%),Total Score
Tinley Park,Illinois,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Troy,Missouri,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Paducah,Kentucky,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
White Castle,Louisiana,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Stillwater,Oklahoma,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Westminster,California,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Solvang,California,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Halifax,Virginia,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Henderson,Kentucky,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Orange Park,Florida,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Lafayette,Tennessee,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
La Crosse,Wisconsin,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Taylorsville,North Carolina,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Martinez,California,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Benicia,California,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Oviedo,Florida,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Muskogee,Oklahoma,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Thornton,Colorado,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002
East Orange,New Jersey,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Kountze,Texas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Everson,Washington,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Landis,North Carolina,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0002
Libertyville,Illinois,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0002
Bay Minette,Alabama,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Newaygo,Michigan,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Pembroke Pines,Florida,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0002
Samson,Alabama,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Howell,Michigan,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Ligonier,Indiana,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Owensville,Missouri,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Walnut,California,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Gig Harbor,Washington,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Hallandale,Florida,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Dresden,Tennessee,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Portland,Maine,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Danbury,Connecticut,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Willoughby,Ohio,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
La Grange,Illinois,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Kamas,Utah,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Lathrop,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Decatur,Texas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Mattawan,Michigan,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
La Vergne,Tennessee,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Oil City,Pennsylvania,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Ignacio,Colorado,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0001,0.0002
Montague,California,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Rockport,Massachusetts,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Rochester,Pennsylvania,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Smyrna,Delaware,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Elko,Nevada,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Byhalia,Mississippi,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Westerly,Rhode Island,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Mansfield,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Oakland,New Jersey,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Johnstown,Pennsylvania,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Lakewood,Ohio,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Davenport,Florida,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Mooreland,Oklahoma,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Raymore,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Tooele,Utah,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Philadelphia,Mississippi,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Town Creek,Alabama,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Pittsburg,Texas,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Cornelius,North Carolina,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Oroville,California,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
King City,California,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Newport,Kentucky,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Dunedin,Florida,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Vinton,Louisiana,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Wisconsin Rapids,Wisconsin,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Cedar Falls,Iowa,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Jacksonville,Arkansas,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Middleburg,Virginia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Stringtown,Oklahoma,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Preston,Idaho,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Henryetta,Oklahoma,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Kearney,Nebraska,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Park Ridge,New Jersey,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Rowlett,Texas,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Miamisburg,Ohio,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Morehead City,North Carolina,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Italy,Texas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Darlington,South Carolina,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Munfordville,Kentucky,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Cameron,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Williston,South Carolina,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Oak Brook,Illinois,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Terrell,Texas,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Hightstown,New Jersey,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Dudley,Massachusetts,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Geneva,Illinois,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0002
Sayreville,New Jersey,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Lake Village,Arkansas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Western Springs,Illinois,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Fairview,New Jersey,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Yuba City,California,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Smithville,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Mead,Colorado,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0002,0.0002
Dade City,Florida,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Vandalia,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Deerfield Beach,Florida,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Everett,Massachusetts,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Dora,Alabama,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Mustang,Oklahoma,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Rogers,Minnesota,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Cumberland,Rhode Island,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Farmington,Utah,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Ellsworth,Kansas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Hanford,California,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Hobart,Indiana,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Sand Springs,Oklahoma,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Flagstaff,Arizona,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0002
Fairview,Utah,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Gonzales,California,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Reeds Spring,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Selah,Washington,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Grandview,Missouri,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Ridgewood,New Jersey,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Midway,Florida,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
East Peoria,Illinois,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Willis,Texas,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Nixa,Missouri,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Princeton,West Virginia,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Kaukauna,Wisconsin,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Mason,West Virginia,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Madison,Mississippi,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Simpsonville,South Carolina,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Elizabethton,Tennessee,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Heath,Ohio,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Leverett,Massachusetts,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
La Grange,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
New Smyrna Beach,Florida,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Lindale,Texas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Gridley,California,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
North Canton,Ohio,0.0000,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Mammoth Spring,Arkansas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Porterville,California,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,-0.0001,0.0002
Pacifica,California,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Cranberry Township,Pennsylvania,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Clarkdale,Arizona,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Snowmass Village,Colorado,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Iowa Falls,Iowa,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Girard,Kansas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0002,0.0002
Glencoe,Minnesota,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Indiana,Pennsylvania,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Green Lake,Wisconsin,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Whitesburg,Kentucky,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Shiocton,Wisconsin,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Olivia,Minnesota,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Evanston,Illinois,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Red Bank,New Jersey,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Fairmont,West Virginia,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Westwood,New Jersey,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Rock Island,Illinois,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Brawley,California,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Puxico,Missouri,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Socorro,New Mexico,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Kinston,North Carolina,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0002
Ponca City,Oklahoma,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Monessen,Pennsylvania,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
High Springs,Florida,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Bartow,Florida,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Folsom,California,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Avalon,California,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Huntland,Tennessee,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Paris,Texas,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Portland,Connecticut,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002,0.0002
Garner,North Carolina,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Brownsburg,Indiana,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Burr Oak,Michigan,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Calvert City,Kentucky,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Ozark,Missouri,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Williams,California,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Mount Joy,Pennsylvania,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Williamsport,Pennsylvania,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Northport,Alabama,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Lyndeborough,New Hampshire,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Paramount,California,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Raritan,New Jersey,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Orange,New Jersey,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Hartford,Alabama,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Helena,Montana,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Columbus,Nebraska,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Eldridge,Iowa,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Glen Ellyn,Illinois,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Michigan City,Indiana,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Seneca,Missouri,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Hanover,Pennsylvania,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Kerrville,Texas,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Magee,Mississippi,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Middletown,Rhode Island,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
La Verne,California,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Ohatchee,Alabama,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Willowbrook,Illinois,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Wagner,South Dakota,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Woodburn,Oregon,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Stratford,Texas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Venice,Florida,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Moline,Illinois,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Marlin,Texas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Keenesburg,Colorado,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Placentia,California,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Henagar,Alabama,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0002
Delano,California,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Freehold,New Jersey,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Rosemount,Minnesota,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Sherman,Texas,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Auburn,California,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Mount Sterling,Kentucky,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Enterprise,Alabama,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Seward,Alaska,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Massillon,Ohio,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Edmonton,Kentucky,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Palatka,Florida,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Nolensville,Tennessee,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Upper Marlboro,Maryland,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Mchenry,Illinois,0.0001,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Conway,Pennsylvania,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Easton,Maryland,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Hudson,Ohio,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Holton,Kansas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
West,Texas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Loretto,Tennessee,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Hydro,Oklahoma,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0001,0.0002
Oak Park,Illinois,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Mcconnelsville,Ohio,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Port Lavaca,Texas,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Sausalito,California,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Somerton,Arizona,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,-0.0001,0.0002
Iowa Park,Texas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Haverhill,Massachusetts,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0002
Sherwood,Arkansas,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Herscher,Illinois,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002
Texas City,Texas,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Rogersville,Alabama,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Maggie Valley,North Carolina,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Tewksbury,Massachusetts,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Center,Missouri,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,-0.0001,0.0002
Zeeland,Michigan,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Faribault,Minnesota,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Kingsville,Texas,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Rangely,Colorado,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Grangeville,Idaho,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Selma,California,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Covina,California,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Sandusky,Ohio,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
San Dimas,California,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0002
Hodgenville,Kentucky,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Scituate,Massachusetts,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Elgin,South Carolina,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Headland,Alabama,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Watertown,South Dakota,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
White Stone,Virginia,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Columbia Falls,Montana,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Demopolis,Alabama,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Pembroke,North Carolina,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Matteson,Illinois,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Independence,Iowa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Redding,Connecticut,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0001,0.0002
Pine Bluff,Arkansas,0.0001,0.0001,0.0000,-0.0001,0.0001,0.0001,0.0000,0.0002
Winterville,North Carolina,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
Middletown,Delaware,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Duxbury,Massachusetts,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0002
Arcadia,California,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Harper Woods,Michigan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Monroeville,Pennsylvania,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Howe,Texas,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Sanford,Maine,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Polk,Pennsylvania,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
Novi,Michigan,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0002
Gurnee,Illinois,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Passaic,New Jersey,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Plainfield,Indiana,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Gervais,Oregon,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0002
