Top 5 CITTIES based on weightage scores,State,Mass Markets (W20%),Diverse Workers (W20%),Well-heeled Affluents (20%),Population Growth Rate (10%),Number of Burgalaries reported (10%),Property Crime Rate (10%),Housing Construction (10%),Total Score
Greensboro,North Carolina,0.0003,0.0006,0.0002,0.0000,0.0001,0.0002,0.0000,0.0015
Long Beach,California,0.0001,0.0005,0.0003,0.0000,0.0002,0.0002,0.0000,0.0015
Des Moines,Iowa,0.0004,0.0006,0.0001,0.0000,0.0002,0.0002,0.0000,0.0014
Katy,Texas,0.0004,0.0000,0.0007,0.0002,0.0000,0.0000,0.0001,0.0014
West Palm Beach,Florida,0.0003,0.0005,0.0004,0.0000,0.0001,0.0001,0.0000,0.0014
Little Rock,Arkansas,0.0002,0.0004,0.0001,0.0000,0.0003,0.0003,0.0000,0.0014
Springfield,Missouri,0.0002,0.0005,0.0001,0.0000,0.0002,0.0002,0.0000,0.0014
Newark,New Jersey,0.0008,0.0002,0.0000,0.0000,0.0002,0.0002,0.0000,0.0014
Garland,Texas,0.0006,0.0003,0.0002,0.0000,0.0000,0.0001,0.0000,0.0014
Fort Wayne,Indiana,0.0003,0.0005,0.0003,0.0000,0.0001,0.0002,0.0000,0.0014
Durham,North Carolina,0.0004,0.0003,0.0001,0.0001,0.0002,0.0002,0.0001,0.0014
Modesto,California,0.0001,0.0005,0.0003,0.0000,0.0002,0.0002,0.0000,0.0014
Tacoma,Washington,0.0006,0.0002,0.0002,0.0000,0.0002,0.0002,0.0000,0.0013
Madison,Wisconsin,0.0003,0.0003,0.0005,0.0000,0.0001,0.0001,0.0000,0.0013
Huntsville,Alabama,0.0003,0.0005,0.0001,0.0000,0.0002,0.0002,0.0000,0.0013
Trenton,New Jersey,0.0005,0.0003,0.0004,0.0000,0.0001,0.0000,0.0000,0.0013
Saltillo,Tennessee,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0002,0.0013
Wilmington,North Carolina,0.0003,0.0004,0.0004,0.0000,0.0001,0.0001,0.0000,0.0013
Lakeland,Florida,0.0005,0.0006,0.0001,0.0000,0.0000,0.0001,0.0000,0.0013
Fremont,California,0.0000,0.0000,0.0011,0.0000,0.0000,0.0001,0.0000,0.0013
Rockford,Illinois,0.0002,0.0006,0.0001,0.0000,0.0002,0.0001,0.0000,0.0013
Kissimmee,Florida,0.0009,0.0002,0.0000,0.0001,0.0001,0.0001,0.0000,0.0013
Fredonia,Arizona,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0005,0.0013
Providence,Rhode Island,0.0003,0.0006,0.0001,0.0000,0.0001,0.0001,0.0000,0.0012
San Bernardino,California,0.0001,0.0007,0.0001,0.0000,0.0002,0.0002,0.0000,0.0012
Plano,Texas,0.0001,0.0001,0.0008,0.0001,0.0000,0.0001,0.0000,0.0012
Shreveport,Louisiana,0.0004,0.0004,0.0001,0.0000,0.0002,0.0002,0.0000,0.0012
Irvine,California,0.0001,0.0000,0.0008,0.0001,0.0000,0.0001,0.0000,0.0012
Odessa,Texas,0.0004,0.0003,0.0001,0.0001,0.0002,0.0001,0.0000,0.0012
Santa Ana,California,0.0003,0.0005,0.0001,0.0000,0.0001,0.0001,0.0000,0.0012
Hudson,Colorado,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0006,0.0012
Naples,Florida,0.0005,0.0004,0.0002,0.0000,0.0000,0.0000,0.0000,0.0012
Irving,Texas,0.0004,0.0004,0.0002,0.0000,0.0001,0.0001,0.0000,0.0011
Berkeley,California,0.0001,0.0000,0.0009,0.0000,0.0000,0.0001,0.0000,0.0011
Anaheim,California,0.0004,0.0001,0.0004,0.0000,0.0001,0.0002,0.0000,0.0011
Los Altos,California,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0011
Greenville,South Carolina,0.0001,0.0007,0.0001,0.0000,0.0001,0.0001,0.0000,0.0011
Jackson,Mississippi,0.0002,0.0006,0.0000,0.0000,0.0001,0.0002,0.0000,0.0011
Littleton,Colorado,0.0002,0.0001,0.0007,0.0000,0.0000,0.0000,0.0000,0.0011
Penn,Pennsylvania,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0002,0.0011
